,Judet,Firme per 1000 locuitori
0, Bihor,42.969150491854585
1, Bistrita-Nasaud,32.51290889384076
2, Cluj,61.18900025522453
3, Maramures,31.86237084542169
4, Satu Mare,29.04133945769744
5, Salaj,30.666109676439316
6, Alba,33.7614408483959
7, Brasov,47.13450565308932
8, Covasna,24.539877300613497
9, Harghita,29.899229157824116
10, Mures,33.24926755041542
11, Sibiu,40.47451477586571
12, Bacau,24.768077222565314
13, Botosani,14.901936635980173
14, Iasi,32.14762247829364
15, Neamt,24.329128850139355
16, Suceava,25.82626054718256
17, Vaslui,18.908466998811964
18, Braila,26.4857998697002
19, Buzau,28.359910027513905
20, Constanta,41.641631896857255
21, Galati,28.90008093158543
22, Tulcea,30.44851480965057
23, Vrancea,25.26533719716051
24, Arges,36.742093624796176
25, Calarasi,21.267303623782436
26, Dambovita,23.249231594969828
27, Giurgiu,26.157789539203822
28, Ialomita,21.59894772300733
29, Prahova,32.5483035693551
30, Teleorman,20.815767619071767
31, Ilfov,64.07635913189631
32, Municipiul Bucuresti,78.0330169173369
33, Dolj,31.995200302153677
34, Gorj,27.988492401372653
35, Mehedinti,18.90966300729267
36, Olt,22.9723879863706
37, Valcea,28.810728135816134
38, Arad,36.79256993070818
39, Caras-Severin,22.537291995814268
40, Hunedoara,31.027476971023926
41, Timis,48.34954177800083
