Judet,Clasa Firma,Numar Firme
 Bihor, Total,23889
 Bistrita-Nasaud, Total,9659
 Cluj, Total,42435
 Maramures, Total,14398
 Satu Mare, Total,9604
 Salaj, Total,6460
 Alba, Total,10996
 Brasov, Total,26260
 Covasna, Total,4900
 Harghita, Total,8735
 Mures, Total,17284
 Sibiu, Total,15930
 Bacau, Total,14759
 Botosani, Total,5808
 Iasi, Total,25033
 Neamt, Total,10894
 Suceava, Total,16663
 Vaslui, Total,6987
 Braila, Total,7277
 Buzau, Total,11297
 Constanta, Total,27376
 Galati, Total,14248
 Tulcea, Total,5765
 Vrancea, Total,8396
 Arges, Total,20753
 Calarasi, Total,5941
 Dambovita, Total,11089
 Giurgiu, Total,6766
 Ialomita, Total,5386
 Prahova, Total,22425
 Teleorman, Total,6567
 Ilfov, Total,37399
 Municipiul Bucuresti, Total,134356
 Dolj, Total,19145
 Gorj, Total,8678
 Mehedinti, Total,4351
 Olt, Total,8650
 Valcea, Total,9814
 Arad, Total,15117
 Caras-Severin, Total,5492
 Hunedoara, Total,11011
 Timis, Total,32082
 Bihor, 0-9 persoane,21816
 Bistrita-Nasaud, 0-9 persoane,8904
 Cluj, 0-9 persoane,39559
 Maramures, 0-9 persoane,13146
 Satu Mare, 0-9 persoane,8649
 Salaj, 0-9 persoane,5922
 Alba, 0-9 persoane,10015
 Brasov, 0-9 persoane,24240
 Covasna, 0-9 persoane,4413
 Harghita, 0-9 persoane,7718
 Mures, 0-9 persoane,15722
 Sibiu, 0-9 persoane,14521
 Bacau, 0-9 persoane,13557
 Botosani, 0-9 persoane,5257
 Iasi, 0-9 persoane,22915
 Neamt, 0-9 persoane,9913
 Suceava, 0-9 persoane,15209
 Vaslui, 0-9 persoane,6441
 Braila, 0-9 persoane,6653
 Buzau, 0-9 persoane,10293
 Constanta, 0-9 persoane,25019
 Galati, 0-9 persoane,13136
 Tulcea, 0-9 persoane,5270
 Vrancea, 0-9 persoane,7779
 Arges, 0-9 persoane,18805
 Calarasi, 0-9 persoane,5475
 Dambovita, 0-9 persoane,10243
 Giurgiu, 0-9 persoane,6289
 Ialomita, 0-9 persoane,4877
 Prahova, 0-9 persoane,20356
 Teleorman, 0-9 persoane,6050
 Ilfov, 0-9 persoane,34596
 Municipiul Bucuresti, 0-9 persoane,122969
 Dolj, 0-9 persoane,17616
 Gorj, 0-9 persoane,8050
 Mehedinti, 0-9 persoane,4019
 Olt, 0-9 persoane,7959
 Valcea, 0-9 persoane,8991
 Arad, 0-9 persoane,13808
 Caras-Severin, 0-9 persoane,5054
 Hunedoara, 0-9 persoane,10054
 Timis, 0-9 persoane,29700
 Bihor, 10-49 persoane,1769
 Bistrita-Nasaud, 10-49 persoane,642
 Cluj, 10-49 persoane,2359
 Maramures, 10-49 persoane,1085
