Judet,Populatie,Regiune
 Bihor,555957,Nord-Vest
 Bistrita-Nasaud,297082,Nord-Vest
 Cluj,693507,Nord-Vest
 Maramures,451881,Nord-Vest
 Satu Mare,330701,Nord-Vest
 Salaj,210656,Nord-Vest
 Alba,325697,Centru
 Brasov,557129,Centru
 Covasna,199675,Centru
 Harghita,292148,Centru
 Mures,519831,Centru
 Sibiu,393581,Centru
 Bacau,595888,Nord-Est
 Botosani,389748,Nord-Est
 Iasi,778689,Nord-Est
 Neamt,447776,Nord-Est
 Suceava,645196,Nord-Est
 Vaslui,369517,Nord-Est
 Braila,274751,Sud-Est
 Buzau,398344,Sud-Est
 Constanta,657419,Sud-Est
 Galati,493009,Sud-Est
 Tulcea,189336,Sud-Est
 Vrancea,332313,Sud-Est
 Arges,564829,Sud-Muntenia
 Calarasi,279349,Sud-Muntenia
 Dambovita,476962,Sud-Muntenia
 Giurgiu,258661,Sud-Muntenia
 Ialomita,249364,Sud-Muntenia
 Prahova,688976,Sud-Muntenia
 Teleorman,315482,Sud-Muntenia
 Ilfov,583663,Bucuresti-Ilfov
 Municipiul Bucuresti,1721784,Bucuresti-Ilfov
 Dolj,598371,Sud-Vest Oltenia
 Gorj,310056,Sud-Vest Oltenia
 Mehedinti,230094,Sud-Vest Oltenia
 Olt,376539,Sud-Vest Oltenia
 Valcea,340637,Sud-Vest Oltenia
 Arad,410871,Vest
 Caras-Severin,243685,Vest
 Hunedoara,354879,Vest
 Timis,663543,Vest
