Judet,Procent Urbanizare
 Bihor,47.2194792
 Bistrita-Nasaud,38.22008738
 Cluj,59.72499196
 Maramures,55.60269186
 Satu Mare,43.49094802
 Salaj,39.51370955
 Alba,58.10308354
 Brasov,67.78412181
 Covasna,45.64216852
 Harghita,40.46134151
 Mures,47.00835464
 Sibiu,62.80536916
 Bacau,41.57593373
 Botosani,38.04278662
 Iasi,43.72246173
 Neamt,35.10951905
 Suceava,38.91670128
 Vaslui,41.44870195
 Braila,60.81724907
 Buzau,37.95638945
 Constanta,65.44897546
 Galati,51.99154579
 Tulcea,46.13808256
 Vrancea,32.69267227
 Arges,45.12108975
 Calarasi,35.24694916
 Dambovita,26.96378328
 Giurgiu,28.61892593
 Ialomita,43.74849617
 Prahova,47.09351269
 Teleorman,32.16284923
 Ilfov,45.17401309
 Municipiul Bucuresti,100
 Dolj,49.66600988
 Gorj,43.50891452
 Mehedinti,45.10808626
 Olt,39.8543046
 Valcea,44.68833392
 Arad,53.70517754
 Caras-Severin,51.9305661
 Hunedoara,73.42305406
 Timis,51.08591305
