Judet,Salariul Mediu Net (RON)
 Bihor,5703
 Bistrita-Nasaud,5435
 Cluj,8524
 Maramures,5644
 Satu Mare,5653
 Salaj,5806
 Alba,6030
 Brasov,7108
 Covasna,5589
 Harghita,5523
 Mures,6430
 Sibiu,7020
 Bacau,6146
 Botosani,5407
 Iasi,7282
 Neamt,5661
 Suceava,5669
 Vaslui,5458
 Braila,5402
 Buzau,5680
 Constanta,6421
 Galati,6040
 Tulcea,5633
 Vrancea,5335
 Arges,6548
 Calarasi,5687
 Dambovita,5853
 Giurgiu,6007
 Ialomita,5635
 Prahova,6609
 Teleorman,5339
 Ilfov,7379
 Municipiul Bucuresti,9751
 Dolj,6476
 Gorj,6366
 Mehedinti,5522
 Olt,6140
 Valcea,5395
 Arad,6122
 Caras-Severin,5685
 Hunedoara,5534
 Timis,7864
