Judet, Perioade,Salariul Mediu
 Bihor,2019,2385
 Bihor,2020,2603
 Bihor,2021,2766
 Bihor,2022,3099
 Bihor,2023,3609
 Bistrita-Nasaud,2019,2405
 Bistrita-Nasaud,2020,2538
 Bistrita-Nasaud,2021,2644
 Bistrita-Nasaud,2022,2951
 Bistrita-Nasaud,2023,3447
 Cluj,2019,3449
 Cluj,2020,3744
 Cluj,2021,4046
 Cluj,2022,4679
 Cluj,2023,5344
 Maramures,2019,2437
 Maramures,2020,2595
 Maramures,2021,2721
 Maramures,2022,3068
 Maramures,2023,3562
 Satu Mare,2019,2510
 Satu Mare,2020,2656
 Satu Mare,2021,2816
 Satu Mare,2022,3133
 Satu Mare,2023,3587
 Salaj,2019,2547
 Salaj,2020,2677
 Salaj,2021,2884
 Salaj,2022,3135
 Salaj,2023,3690
 Alba,2019,2664
 Alba,2020,2846
 Alba,2021,3070
 Alba,2022,3325
 Alba,2023,3837
 Brasov,2019,2916
 Brasov,2020,3111
 Brasov,2021,3319
 Brasov,2022,3740
 Brasov,2023,4404
 Covasna,2019,2379
 Covasna,2020,2579
 Covasna,2021,2677
 Covasna,2022,2993
 Covasna,2023,3529
 Harghita,2019,2349
 Harghita,2020,2483
 Harghita,2021,2687
 Harghita,2022,2924
 Harghita,2023,3490
 Mures,2019,2739
 Mures,2020,2975
 Mures,2021,3117
 Mures,2022,3456
 Mures,2023,4041
 Sibiu,2019,2976
 Sibiu,2020,3165
 Sibiu,2021,3442
 Sibiu,2022,3775
 Sibiu,2023,4392
 Bacau,2019,2603
 Bacau,2020,2825
 Bacau,2021,2977
 Bacau,2022,3335
 Bacau,2023,3948
 Botosani,2019,2501
 Botosani,2020,2671
 Botosani,2021,2695
 Botosani,2022,2958
 Botosani,2023,3430
 Iasi,2019,3125
 Iasi,2020,3327
 Iasi,2021,3557
 Iasi,2022,3939
 Iasi,2023,4568
 Neamt,2019,2395
 Neamt,2020,2590
 Neamt,2021,2713
 Neamt,2022,3041
 Neamt,2023,3542
 Suceava,2019,2445
 Suceava,2020,2646
 Suceava,2021,2737
 Suceava,2022,3042
 Suceava,2023,3588
 Vaslui,2019,2482
 Vaslui,2020,2673
 Vaslui,2021,2711
 Vaslui,2022,2981
 Vaslui,2023,3446
 Braila,2019,2428
 Braila,2020,2607
 Braila,2021,2693
 Braila,2022,2972
 Braila,2023,3446
 Buzau,2019,2450
 Buzau,2020,2644
 Buzau,2021,2773
 Buzau,2022,2996
 Buzau,2023,3595
 Constanta,2019,2651
 Constanta,2020,2918
 Constanta,2021,3034
 Constanta,2022,3378
 Constanta,2023,4028
 Galati,2019,2602
 Galati,2020,2809
 Galati,2021,2947
 Galati,2022,3256
 Galati,2023,3822
 Tulcea,2019,2593
 Tulcea,2020,2821
 Tulcea,2021,2899
 Tulcea,2022,3146
 Tulcea,2023,3525
 Vrancea,2019,2389
 Vrancea,2020,2561
 Vrancea,2021,2648
 Vrancea,2022,2888
 Vrancea,2023,3344
 Arges,2019,2908
 Arges,2020,3043
 Arges,2021,3222
 Arges,2022,3487
 Arges,2023,4106
 Calarasi,2019,2539
 Calarasi,2020,2769
 Calarasi,2021,2808
 Calarasi,2022,3189
 Calarasi,2023,3602
 Dambovita,2019,2513
 Dambovita,2020,2727
 Dambovita,2021,2847
 Dambovita,2022,3122
 Dambovita,2023,3672
 Giurgiu,2019,2672
 Giurgiu,2020,2892
 Giurgiu,2021,2947
 Giurgiu,2022,3264
 Giurgiu,2023,3772
 Ialomita,2019,2434
 Ialomita,2020,2651
 Ialomita,2021,2793
 Ialomita,2022,3114
 Ialomita,2023,3618
 Prahova,2019,2813
 Prahova,2020,3021
 Prahova,2021,3207
 Prahova,2022,3621
 Prahova,2023,4162
 Teleorman,2019,2360
 Teleorman,2020,2539
 Teleorman,2021,2579
 Teleorman,2022,2881
 Teleorman,2023,3353
 Ilfov,2019,3163
 Ilfov,2020,3348
 Ilfov,2021,3489
 Ilfov,2022,3958
 Ilfov,2023,4602
 Municipiul Bucuresti,2019,4068
 Municipiul Bucuresti,2020,4408
 Municipiul Bucuresti,2021,4755
 Municipiul Bucuresti,2022,5304
 Municipiul Bucuresti,2023,6053
 Dolj,2019,2766
 Dolj,2020,2967
 Dolj,2021,3107
 Dolj,2022,3433
 Dolj,2023,4018
 Gorj,2019,2657
 Gorj,2020,2858
 Gorj,2021,3008
 Gorj,2022,3359
 Gorj,2023,3975
 Mehedinti,2019,2476
 Mehedinti,2020,2686
 Mehedinti,2021,2751
 Mehedinti,2022,2954
 Mehedinti,2023,3502
 Olt,2019,2685
 Olt,2020,2864
 Olt,2021,3029
 Olt,2022,3289
 Olt,2023,3877
 Valcea,2019,2414
 Valcea,2020,2606
 Valcea,2021,2694
 Valcea,2022,2950
 Valcea,2023,3435
 Arad,2019,2611
 Arad,2020,2761
 Arad,2021,2972
 Arad,2022,3236
 Arad,2023,3823
 Caras-Severin,2019,2462
 Caras-Severin,2020,2650
 Caras-Severin,2021,2759
 Caras-Severin,2022,3045
 Caras-Severin,2023,3573
 Hunedoara,2019,2426
 Hunedoara,2020,2617
 Hunedoara,2021,2731
 Hunedoara,2022,2984
 Hunedoara,2023,3474
 Timis,2019,3310
 Timis,2020,3536
 Timis,2021,3845
 Timis,2022,4251
 Timis,2023,4910
