,Judet,Evolutie Medie Salariu (%),Evolutie Medie Somaj (%)
0, Alba,9.6,4.71
1, Arad,10.1,6.2
2, Arges,9.13,4.66
3, Bacau,11.08,-14.78
4, Bihor,10.97,6.54
5, Bistrita-Nasaud,9.53,7.07
6, Botosani,8.35,4.98
7, Braila,9.25,-0.99
8, Brasov,10.95,8.78
9, Buzau,10.21,-2.85
10, Calarasi,9.25,9.87
11, Caras-Severin,9.86,-3.46
12, Cluj,11.62,1.72
13, Constanta,11.16,-2.13
14, Covasna,10.48,14.91
15, Dambovita,10.05,-4.56
16, Dolj,9.88,2.27
17, Galati,10.18,-1.26
18, Giurgiu,9.11,13.92
19, Gorj,10.71,-3.44
20, Harghita,10.52,2.77
21, Hunedoara,9.48,10.87
22, Ialomita,10.49,1.85
23, Iasi,10.02,2.12
24, Ilfov,9.94,14.29
25, Maramures,10.05,-2.18
26, Mehedinti,9.21,0.83
27, Municipiul Bucuresti,10.47,-6.86
28, Mures,10.3,2.8
29, Neamt,10.36,4.9
30, Olt,9.72,0.21
31, Prahova,10.35,0.31
32, Salaj,9.81,6.02
33, Satu Mare,9.4,12.71
34, Sibiu,10.28,11.58
35, Suceava,10.19,3.95
36, Teleorman,9.31,5.02
37, Timis,10.41,9.13
38, Tulcea,8.03,0.14
39, Valcea,9.32,6.53
40, Vaslui,8.67,1.65
41, Vrancea,8.86,-5.55
